N. PROG. INVENT.,FG,MAPPALE,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA'
347,1,81,PAA2 200 - Terreni (patrimonio indisponibile),Tangenziale Ovest,area destinata alla realizzazione della Tangenziale Ovest,in previsione nel PGT (di futura realizzazione)  ,DESIO
124,1,81,PAA2 300 - Terreni (patrimonio disponibile),Terreno -  Strada Comunale dei Boschi per Cesano,area agricola,Comunale dei Boschi verso Cesano  ,DESIO
997,1,81,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Garibaldi,verde pubblico,Garibaldi  ,DESIO
1,1,81,PAA2 300 - Terreni (patrimonio disponibile),Terreno - Strada Comunale dei Boschi verso Cesano,area agricola,Comunale dei Boschi verso Cesano  ,DESIO
3,2,312,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Lucinico,porzione mappale a residenza,Lucinico  ,DESIO
1,2,312,PAA2 100 - Beni demaniali,Terreno - via Lucinico,porzione mappale a sede stradale,Lucinico  ,DESIO
9,2,325,PAA2 100 - Beni demaniali,Terreno - via Olimpiadi,sede stradale,Olimpiadi  ,DESIO
44,2,325,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Olimpiadi,residenziale,Olimpiadi  ,DESIO
107,8,342,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Mulino Arese,porzione mappale a residenza,Mulino Arese  ,DESIO
103,8,342,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Cesano,porzione mappale a verde pubblico,per Cesano  ,DESIO
56,10,216,PAA2 100 - Beni demaniali,Terreno  -via Tolstoj,parcheggio a spina,Tolstoj  ,DESIO
96,10,216,PAA2 100 - Beni demaniali,Terreno - via Tolstoj,parcheggio a spina,Tolstoj  ,DESIO
218,10,401,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Alcide De Gasperi,mappale a verde pubblico,De Gasperi Alcide  ,DESIO
113,10,401,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Alcide De Gasperi,porzione mappale residenziale ,De Gasperi Alcide  ,DESIO
114,11,203,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Fermi,porzione mappale a residenza,Fermi  ,DESIO
224,11,203,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Fermi,porzione mappale a verde pubblico,Fermi  ,DESIO
239,11,614,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Gabellini,porzione mappale a verde pubblico,Gabellini  ,DESIO
115,11,614,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Gabellini,porzione mappale a residenza,Gabellini  ,DESIO
116,12,351,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Milano,porzione mappale a residenza,Milano  ,DESIO
82,12,351,PAA2 100 - Beni demaniali,Terreno - via Milano,sede stradale,Milano  ,DESIO
83,12,353,PAA2 100 - Beni demaniali,Terreno - via Milano,porzione mappale a sede stradale,Milano  ,DESIO
117,12,353,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Milano,porzione mappale a residenza,Milano  ,DESIO
122,17,92,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via per Seregno,porzione mappale a residenza,per Seregno  ,DESIO
100,17,92,PAA2 100 - Beni demaniali,Terreno - via per Seregno,porzione mappale a sede stradale,per Seregno  ,DESIO
101,18,4,PAA2 100 - Beni demaniali,Terreno - strada vicinale dei Boschi,porzione mappale a sede stradale,vicinale dei Boschi  ,DESIO
123,18,4,PAA2 300 - Terreni (patrimonio disponibile),Terreno - strada vicinale dei Boschi,porzione mappale agricolo,vicinale dei Boschi  ,DESIO
112,20,195,PAA2 100 - Beni demaniali,Terreno - via per Binzago,sede stradale,per Binzago  ,DESIO
391,20,195,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Binzago,verde pubblico,per Binzago  ,DESIO
392,20,198,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Binzago,porzione mappale a verde pubblico,per Binzago  ,DESIO
113,20,198,PAA2 100 - Beni demaniali,Terreno - via per Binzago,sede stradale,per Binzago  ,DESIO
146,20,221,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via per Binzago,residenziale ,per Binzago  ,DESIO
390,20,221,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Binzago,verde pubblico,per Binzago  ,DESIO
111,20,223,PAA2 100 - Beni demaniali,Terreno - via per Binzago,porzione mappale a sede stradale,per Bovisio  ,DESIO
388,20,223,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Binzago,verde pubblico,per Binzago  ,DESIO
393,20,224,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Binzago,verde pubblico,per Binzago  ,DESIO
147,20,224,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via per Binzago,residenziale ,per Binzago  ,DESIO
148,20,229,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via per Binzago,residenziale,per Binzago  ,DESIO
397,20,229,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via per Binzago,verde pubblico,per Binzago  ,DESIO
114,20,240,PAA2 100 - Beni demaniali,Terreno - via per Binzago,sede stradale,per Binzago  ,DESIO
149,20,240,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via per Binzago,residenziale ,per Binzago  ,DESIO
117,21,115,PAA2 100 - Beni demaniali,Terreno - via Monte Rosa,porzione mappale a sede stradale,Monte Rosa  ,DESIO
473,21,115,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Monte Rosa,porzione mappale a servizi comunali,Monte Rosa  ,DESIO
477,21,394,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Monte Bianco,verde pubblico,Monte Bianco  ,DESIO
120,21,394,PAA2 100 - Beni demaniali,Terreno - via Dolomiti,sede stradale,Dolomiti  ,DESIO
522,22,248,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Montale,verde pubblico,Montale  ,DESIO
532,22,248,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Montale,verde pubblico,Montale  ,DESIO
557,22,446,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Pallavicini,porzione mappale a verde pubblico,Pallavicini  ,DESIO
148,22,446,PAA2 100 - Beni demaniali,Terreno - via Pallavicini,sede stradale,Pallavicini  ,DESIO
553,22,496,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Carso,verde pubblico,Carso  ,DESIO
165,22,496,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Carso,porzione mappale a residenza,Carso  ,DESIO
512,22,518,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Pallavicini,porzione mappale a verde pubblico,Pallavicini  ,DESIO
138,22,518,PAA2 100 - Beni demaniali,Terreno - via Pallavicini,sede stradale,Pallavicini  ,DESIO
150,23,294,PAA2 100 - Beni demaniali,Terreno - via delle Rimembranze,porzione mappale a sede stradale,Rimembranze  ,DESIO
828,23,294,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via delle Rimembranze,porzione mappale fascia di rispetto cimiteriale,Rimembranze  ,DESIO
597,23,295,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via delle Rimembranze,porzione mappale fascia di ripetto cimiteriale,Rimembranze  ,DESIO
151,23,295,PAA2 100 - Beni demaniali,Terreno - via delle Rimembranze,porzione mappale a sede stradale,Rimembranze  ,DESIO
156,23,336,PAA2 100 - Beni demaniali,Terreno - corso Italia,sede stradale,Italia  ,DESIO
602,23,336,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - corso Italia,porzione mappale a verde pubblico,Italia  ,DESIO
170,23,336,PAA2 300 - Terreni (patrimonio disponibile),Terreno - corso Italia,porzione mappale a residenza,Italia  ,DESIO
606,24,171,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via f.lli Cervi,porzione mappale a verde pubblico,Cervi  F.lli  ,DESIO
159,24,171,PAA2 100 - Beni demaniali,Terreno - via f.lli Cervi,porzione mappale a sede stadale,Cervi  F.lli  ,DESIO
160,25,422,PAA2 100 - Beni demaniali,Terreno - via Carducci,porzione mappale a sede stradale,Carducci  ,DESIO
608,25,422,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Carducci,porzione mappale a verde pubblico,Carducci  ,DESIO
176,25,422,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Volta,porzione mappale a residenza,Volta Alessandro  ,DESIO
617,25,427,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Volta,porzione mappale a verde pubblico,Volta Alessandro  ,DESIO
161,25,427,PAA2 100 - Beni demaniali,Terreno - via Volta,porzione mappale a sede stradale,Volta Alessandro  ,DESIO
165,28,151,PAA2 100 - Beni demaniali,Terreno - via Molinara,porzione mappale a sede stradale,Molinara  ,DESIO
165,28,151,PAA2 100 - Beni demaniali,Terreno - via Molinara,porzione mappale a sede stradale,Molinara  ,DESIO
970,28,151,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Molinara,porzione mappale area a servizi comunali,Molinara  ,DESIO
971,28,159,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Molinara,area a servizi comunali,Molinara  ,DESIO
183,28,159,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Molinara,residenziale ,Molinara  ,DESIO
186,28,163,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Filippo da Desio,residenziale,Filippo da Desio  ,DESIO
968,28,163,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Filippo da Desio,area a servizi comunali,Filippo da Desio  ,DESIO
187,28,166,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Filippo da Desio,residenziale,Filippo da Desio  ,DESIO
967,28,166,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Filippo da Desio,area a servizi comunali,Filippo da Desio  ,DESIO
190,30,10,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Bassi,porzione mappale agricolo,Bassi  ,DESIO
192,30,10,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Bassi,residenziale,Bassi  ,DESIO
194,30,373,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Bassi,porzione mappale agricolo,Bassi  ,DESIO
634,30,373,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Bassi,porzione mappale a verde pubblico,Bassi  ,DESIO
677,34,127,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Gaetana Agnesi,porzione mappale a verde pubblico,Agnesi Gaetana  ,DESIO
189,34,127,PAA2 100 - Beni demaniali,Terreno - via Gaetana Agnesi,porzione mappale a sede stradale,Agnesi Gaetana  ,DESIO
190,34,138,PAA2 100 - Beni demaniali,Terreno - via Matilde Serao,porzione mappale a sede stradale ,Serao Matilde  ,DESIO
679,34,138,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Matilde Serao,porzione mappale a verde pubblico,Serao Matilde  ,DESIO
676,34,35,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Gaetana Agnesi,porzione mappale ad area sportiva,Agnesi Gaetana  ,DESIO
187,34,35,PAA2 100 - Beni demaniali,Terreno - Largo Atleti Azzurri,porzione mappale a sede stradale,Atleti Azzurri  ,DESIO
692,35,263,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Matilde Serao,verde pubblico,Serao Matilde  ,DESIO
218,35,263,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Rovagnati,porzione mappale a residenza,Milano  ,DESIO
219,35,292,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Rovagnati,porzione mappale commerciale,Rovagnati  ,DESIO
694,35,292,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Rovagnati,porzione mappale a verde pubblico,Rovagnati  ,DESIO
202,36,426,PAA2 100 - Beni demaniali,Terreno - via Milano,porzione mappale a sede stradale,Milano  ,DESIO
223,36,426,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Milano,porzione mappale a residenza,Milano  ,DESIO
204,36,478,PAA2 100 - Beni demaniali,Terreno - via Borghetto,porzione mappale a sede stradale,Borghetto  ,DESIO
695,36,478,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Borghetto,porzione mappale a verde pubblico,Borghetto  ,DESIO
210,38,380,PAA2 100 - Beni demaniali,Terreno - via dei Tigli,porzione mappale a sede stradale,dei Tigli  ,DESIO
229,38,380,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via dei Tigli,porzione mappale a residenza,dei Tigli  ,DESIO
211,38,385,PAA2 100 - Beni demaniali,Terreno - via Pozzo Antico,sede stradale,Pozzo Antico  ,DESIO
212,38,385,PAA2 100 - Beni demaniali,Terreno - via Pozzo Antico,sede stradale,Pozzo Antico  ,DESIO
216,40,150,PAA2 100 - Beni demaniali,Terreno - via Cavalieri di Vittorio Veneto,porzione mappale a sede stradale,Cavalieri di Vittorio Veneto  ,DESIO
704,40,150,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Cavalieri di Vittorio Veneto,porzione mappale a verde pubblico,Cavalieri di Vittorio Veneto  ,DESIO
218,41,243,PAA2 100 - Beni demaniali,Terreno - Strada Comunale di San Giorgio,porzione mappale a sede stradale,Comunale di San Giorgio  ,DESIO
236,41,243,PAA2 300 - Terreni (patrimonio disponibile),Terreno - Strada Comunale di San Giorgio,porzione mappale agricolo,Comunale di San Giorgio  ,DESIO
238,42,3,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Bramante,porzione mappale commerciale,Bramante  ,DESIO
220,42,3,PAA2 100 - Beni demaniali,Terreno - via Bramante,porzione mappale a sede stradale,Bramante  ,DESIO
748,42,3,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Bramante,porzione mappale a verde pubblico,Bramante  ,DESIO
754,43,200,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Michelini,porzione mappale a verde pubblico,Michelini  ,DESIO
226,43,200,PAA2 100 - Beni demaniali,Terreno - via Michelini,porzione mappale a sede stradale,Michelini  ,DESIO
229,43,326,PAA2 100 - Beni demaniali,Terreno - via Canaletto,porzione mappale a sede stradale,Canaletto  ,DESIO
230,43,326,PAA2 100 - Beni demaniali,Terreno - via Canaletto,porzione mappale a sede stradale,Canaletto  ,DESIO
249,43,326,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Canaletto,porzione mappale a residenza,Canaletto  ,DESIO
225,43,342,PAA2 100 - Beni demaniali,Terreno - via Michelini,porzione mappale a sede stradale,Michelini  ,DESIO
753,43,342,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Michelini,porzione mappale a verde pubblico,Michelini  ,DESIO
227,43,350,PAA2 100 - Beni demaniali,Terreno - via Michelini,porzione mappale a sede stradale,Michelini  ,DESIO
247,43,350,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Michelini,porzione mappale a residenza,Michelini  ,DESIO
258,44,107,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Dell'Industria,porzione mappale con destinazione produttiva,Dell'Industria  ,DESIO
237,44,107,PAA2 100 - Beni demaniali,Terreno - viale Dell'Industria,porzione mappale a sede stradale,Dell'Industria  ,DESIO
232,44,53,PAA2 100 - Beni demaniali,Terreno - viale Dell'Industria,porzione mappale a sede stradale,Dell'Industria  ,DESIO
759,44,53,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - viale Dell'Industria,porzione mappale a verde pubblico,Dell'Industria  ,DESIO
769,45,65,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Don Sturzo (adiacenze),verde pubblico,Don Luigi Sturzo  ,DESIO
773,45,65,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Don Luigi Sturzo,verde pubblico,Don Luigi Sturzo  ,DESIO
